smartphone_id,megapixels,diafragma,beeldstabilisatie,flitser
app_819302,7 MP,"2,2",Elektronische Beeldstabilisatie,Nee
son_805262,5 MP,"2,2",Geen beeldstabilisatie,Nee
app_648416,5 MP,"2,2",Geen beeldstabilisatie,Nee
xia_825443,20 MP,2,Geen beeldstabilisatie,Nee
app_819331,7 MP,"2,2",Elektronische Beeldstabilisatie,Nee
hua_805274,24 MP,2,Geen beeldstabilisatie,Ja
app_793652,7 MP,"2,2",Optische Beeldstabilisatie,Ja
hua_811967,24 MP,2,Geen beeldstabilisatie,Ja
hua_811986,5 MP,"2,4",Geen beeldstabilisatie,Nee
mot_825938,8 MP,"2,2",Geen beeldstabilisatie,Nee
nok_821537,8 MP,2,Geen beeldstabilisatie,Nee
cat_805284,8 MP,2,Geen beeldstabilisatie,Nee
mot_825936,8 MP,"2,2",Geen beeldstabilisatie,Nee
app_793673,7 MP,"2,2",Geen beeldstabilisatie,Ja
sam_827254,10 MP,"1,9",Geen beeldstabilisatie,Nee
app_734125,7 MP,"2,2",Geen beeldstabilisatie,Nee
hua_821982,24 MP,2,Geen beeldstabilisatie,Nee
hua_818806,24 MP,2,Geen beeldstabilisatie,Nee
hua_828516,32 MP,2,Geen beeldstabilisatie,Nee
app_733905,7 MP,"2,2",Geen beeldstabilisatie,Nee
sam_827046,10 MP,"1,9",Geen beeldstabilisatie,Nee
hua_802951,8 MP,2,Geen beeldstabilisatie,Nee
sam_827076,10 MP,"1,9",Geen beeldstabilisatie,Nee
hua_829106,32 MP,2,Geen beeldstabilisatie,Nee
sam_827072,10 MP,"1,9",Geen beeldstabilisatie,Nee
app_733931,7 MP,"2,2",Geen beeldstabilisatie,Nee
hon_825445,24 MP,2,Geen beeldstabilisatie,Nee
sam_812916,8 MP,"1,9",Geen beeldstabilisatie,Ja
app_793685,7 MP,"2,2",Geen beeldstabilisatie,Ja
hua_828508,32 MP,2,Geen beeldstabilisatie,Nee
app_733923,7 MP,"2,2",Geen beeldstabilisatie,Nee
mot_823420,8 MP,"2,2",Elektronische Beeldstabilisatie,Nee
sam_812163,16 MP,"1,9",Geen beeldstabilisatie,Ja
app_733902,7 MP,"2,2",Geen beeldstabilisatie,Nee
mot_811095,8 MP,2,Geen beeldstabilisatie,Ja
sam_812162,16 MP,"1,9",Geen beeldstabilisatie,Ja
sam_808964,8 MP,"1,7",Geen beeldstabilisatie,Nee
hua_807002,16 MP,2,Geen beeldstabilisatie,Nee
app_793684,7 MP,"2,2",Geen beeldstabilisatie,Ja
xia_825444,24 MP,"2,2",Geen beeldstabilisatie,Nee
sam_793953,8 MP,"1,7",Optische Beeldstabilisatie,Nee
sam_771933,8 MP,"1,7",Geen beeldstabilisatie,Nee
app_648430,5 MP,"2,2",Geen beeldstabilisatie,Nee
sam_812903,8 MP,"1,9",Geen beeldstabilisatie,Ja
app_819346,7 MP,"2,2",Elektronische Beeldstabilisatie,Nee
sam_820194,5 MP,"2,2",Geen beeldstabilisatie,Ja
app_648370,5 MP,"2,2",Geen beeldstabilisatie,Nee
xia_819783,5 MP,2,Geen beeldstabilisatie,Nee
app_819945,7 MP,"2,2",Elektronische Beeldstabilisatie,Nee
nok_806022,16 MP,2,Geen beeldstabilisatie,Nee
sam_805194,8 MP,"1,7",Geen beeldstabilisatie,Nee
app_734126,7 MP,"2,2",Geen beeldstabilisatie,Nee
app_648463,5 MP,"2,2",Geen beeldstabilisatie,Nee
hua_812286,16 MP,2,Geen beeldstabilisatie,Nee
app_648347,5 MP,"2,2",Geen beeldstabilisatie,Nee
app_734127,7 MP,"2,2",Geen beeldstabilisatie,Nee
hua_821690,24 MP,2,Geen beeldstabilisatie,Ja
app_648360,5 MP,"2,2",Geen beeldstabilisatie,Nee
app_819948,7 MP,"2,2",Elektronische Beeldstabilisatie,Nee
sam_805204,8 MP,"1,7",Geen beeldstabilisatie,Nee
app_648483,5 MP,"2,2",Geen beeldstabilisatie,Nee
app_734128,7 MP,"2,2",Geen beeldstabilisatie,Nee
app_793654,7 MP,"2,2",Geen beeldstabilisatie,Ja
app_793655,7 MP,"2,2",Geen beeldstabilisatie,Ja
mot_825939,8 MP,"2,2",Geen beeldstabilisatie,Nee
app_733936,7 MP,"2,2",Geen beeldstabilisatie,Nee
nok_806021,2 MP,"2,2",Geen beeldstabilisatie,Ja
app_819949,7 MP,"2,2",Elektronische Beeldstabilisatie,Nee
nok_816168,8 MP,2,Geen beeldstabilisatie,Nee
lg_814760,8 MP,"2,2",Geen beeldstabilisatie,Nee
app_819944,7 MP,"2,2",Elektronische Beeldstabilisatie,Nee
app_819952,7 MP,"2,2",Elektronische Beeldstabilisatie,Nee
app_734141,7 MP,"2,2",Geen beeldstabilisatie,Nee
mot_811120,8 MP,2,Geen beeldstabilisatie,Ja
xia_828047,20 MP,2,Geen beeldstabilisatie,Nee
app_648383,5 MP,"2,2",Geen beeldstabilisatie,Nee
app_819328,7 MP,"2,2",Elektronische Beeldstabilisatie,Nee
dor_793458,2 MP,"2,6",Geen beeldstabilisatie,Ja
hon_821695,24 MP,2,Geen beeldstabilisatie,Nee
nok_821539,8 MP,2,Geen beeldstabilisatie,Nee
app_734130,7 MP,"2,2",Geen beeldstabilisatie,Nee
sam_817228,8 MP,"1,7",Elektronische Beeldstabilisatie,Ja
hon_825447,24 MP,2,Geen beeldstabilisatie,Nee
app_648440,5 MP,"2,2",Geen beeldstabilisatie,Nee
hua_818807,24 MP,2,Geen beeldstabilisatie,Nee
app_819947,7 MP,"2,2",Elektronische Beeldstabilisatie,Nee
sam_827073,10 MP,"1,9",Geen beeldstabilisatie,Nee
sam_829626,10 MP,"1,9",Geen beeldstabilisatie,Nee
sam_829627,10 MP,"1,9",Geen beeldstabilisatie,Nee
sam_829628,10 MP,"1,9",Geen beeldstabilisatie,Nee
sam_827071,10 MP,"1,9",Geen beeldstabilisatie,Nee
son_802456,8 MP,"2,4",Geen beeldstabilisatie,Nee
hua_806994,24 MP,2,Geen beeldstabilisatie,Ja
app_793686,7 MP,"2,2",Geen beeldstabilisatie,Ja
son_806523,5 MP,"2,2",Geen beeldstabilisatie,Nee
son_827296,8 MP,2,Geen beeldstabilisatie,Nee
